"id","nombre_cientifico","categoria","grupo","clasificacion_FAO","cultivo","origen_et","origen","vulnerabilidad_et","vulnerabilidad","imp_economica_org","seg_alimentaria_org","incertidumbre","incertidumbre_et","imp_economica","pool_imp_economica","seg_alimentaria","pool_imp_sa"
121,"Citrus sinensis","BGV List","Frutales","Fruits and nuts","Cítricos","Distant",20,"NotEvaluated",0,"52.74","57.5",10,"No","52.74","No","57.5","No"
125,"Citrus volkameriana","BGV List","Frutales","Fruits and nuts","Cítricos","Distant",20,"NotEvaluated",0,"36.38","8",90,"Alta","36.38","No","33.92","PCG"
126,"Citrus webberii","BGV List","Frutales","Fruits and nuts","Cítricos","Distant",20,"NotEvaluated",0,"36.38","8",90,"Alta","36.38","No","33.92","PCG"
127,"Clausena lansium","BGV List","Frutales","Fruits and nuts","Cítricos","Distant",20,"MinorConcern",35,"8","8",90,"Alta","36.38","PCG","33.92","PCG"
128,"Coccoloba uvifera","BGV List","Otros permanentes","Other crops","Frutales menores","Close",45,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
129,"Cocos nucifera","BGV List","Frutales","Fruits and nuts","Coco","Distant",20,"MinorConcern",35,"54.35","56.32",30,"Baja","54.35","No","56.32","No"
130,"Cucurbita ficifolia","BGV List","Hortalizas","Vegetables and melons","Cucurbitaceas","Close",45,"NotEvaluated",0,"8","30",90,"Alta","52.36","GP","30","No"
131,"Cucurbita maxima","BGV List","Hortalizas","Vegetables and melons","Cucurbitaceas","Close",45,"NotEvaluated",0,"50.53","73.92",60,"Media","50.53","No","73.92","No"
132,"Cucurbita moschata","BGV List","Hortalizas","Vegetables and melons","Cucurbitaceas","Close",45,"NotEvaluated",0,"52.36","57.5",10,"No","52.36","No","57.5","No"
133,"Cucurbita pepo","BGV List","Hortalizas","Vegetables and melons","Cucurbitaceas","Close",45,"NotEvaluated",0,"50","8",90,"Alta","50","No","57.5","GP"
134,"Cyclanthera pedata","BGV List","Hortalizas","Vegetables and melons","Cucurbitaceas","Local",70,"NotEvaluated",0,"30","8",90,"Alta","30","No","57.5","GP"
136,"Dillenia indica","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"Threatened",75,"8","8",90,"Alta","8","No","8","No"
137,"Dioscorea esculenta","BGV List","Tuberculos","Root/tuber crops with high starch or inulin conten","Ñame","Distant",20,"MinorConcern",35,"57.49","55.78",30,"Baja","57.49","No","55.78","No"
138,"Dioscorea trifida","BGV List","Tuberculos","Root/tuber crops with high starch or inulin conten","Ñame","Local",70,"MinorConcern",35,"30","30",90,"Alta","30","No","30","No"
139,"Diospyros discolor","BGV List","Otros permanentes","Other crops","Frutales menores","Distant",20,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
142,"Elaeis guineensis","BGV List","Oleaginosas","Oilseed crops","Palma africana","Local",70,"MinorConcern",35,"70","8",90,"Alta","70","No","8","No"
143,"Elaeis oleifera","BGV List","Oleaginosas","Oilseed crops","Palma americana","Local",70,"Threatened",75,"30","8",90,"Alta","30","No","8","No"
144,"Eriobotrya japonica","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"MinorConcern",35,"8","30",90,"Alta","8","No","30","No"
146,"Syzygium malaccense","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
147,"Eugenia stipitata","BGV List","Frutales","Fruits and nuts","Frutales amazónicos","Local",70,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
148,"Eugenia uniflora L.","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"NotEvaluated",0,"8","57.5",60,"Media","8","No","57.5","No"
149,"Euterpe catinga","BGV List","Frutales","Fruits and nuts","Frutales amazónicos","Local",70,"MinorConcern",35,"30","37.5",90,"Alta","30","No","37.5","No"
150,"Euterpe oleracea","BGV List","Frutales","Fruits and nuts","Frutales amazónicos","Local",70,"MinorConcern",35,"30","57.5",60,"Media","30","No","57.5","No"
151,"Euterpe precatoria","BGV List","Oleaginosas","Oilseed crops","Frutales amazónicos","Local",70,"MinorConcern",35,"30","8",90,"Alta","30","No","8","No"
152,"Ficus carica","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"MinorConcern",35,"50","33.92",90,"Alta","50","No","33.92","No"
153,"Flacourtia indica","BGV List","Otros permanentes","Other crops","Frutales menores","Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
157,"Garcinia dulcis","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
158,"Garcinia macrophylla","BGV List","Otros permanentes","Other crops","Frutales menores","Local",70,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
159,"Garcinia madrunno","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"NotEvaluated",0,"8","37.5",90,"Alta","8","No","37.5","No"
160,"Garcinia mangostana","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"NotEvaluated",0,"8","57.5",60,"Media","8","No","57.5","No"
161,"Genipa americana","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"Threatened",75,"8","8",90,"Alta","8","No","8","No"
162,"Glycine max","BGV List","Leguminosas","Leguminous crops","Soya","Distant",20,"Threatened",75,"50","37.5",90,"Alta","50","No","37.5","No"
163,"Gossypium arboreum","BGV List","Fibras","Other crops","Algodón","Distant",20,"Threatened",75,"8","57.5",60,"Media","70","GP","57.5","No"
164,"Gossypium barbadense","BGV List","Fibras","Other crops","Algodón","Local",70,"NotEvaluated",0,"8","8",90,"Alta","70","GP","8","No"
165,"Gossypium hirsutum","BGV List","Fibras","Other crops","Algodón","Close",45,"Threatened",75,"70","8",90,"Alta","70","No","8","No"
166,"Gustavia superba","BGV List","Otros permanentes","Other crops","Frutales menores","Local",70,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
167,"Gynerium sagittatum","BGV List","Fibras","Other crops","Caña flecha","Local",70,"MinorConcern",35,"34.63","8",90,"Alta","34.63","No","8","No"
168,"Hibiscus elatus","BGV List","Otros permanentes","Other crops","Forestal","Close",45,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
169,"Hordeum vulgare","BGV List","Cereales","Cereals","Cebada","Distant",20,"MinorConcern",35,"39.71","36.68",90,"Alta","39.71","No","36.68","No"
170,"Hymenaea courbaril","BGV List","Frutales","Fruits and nuts","Frutales menores","Close",45,"MinorConcern",35,"30","37.5",60,"Media","30","No","37.5","No"
171,"Inga spectabilis","BGV List","Leguminosas","Leguminous crops","Frutales menores","Local",70,"MinorConcern",35,"30","57.5",60,"Media","30","No","57.5","No"
172,"Ipomoea batatas","BGV List","Tuberculos","Root/tuber crops with high starch or inulin conten","Batata","Close",45,"NotEvaluated",0,"73.5","50",90,"Alta","73.5","No","50","No"
173,"Lecythis minor","BGV List","Otros permanentes","Other crops","Frutales menores","Local",70,"MinorConcern",35,"8","57.5",30,"Baja","8","No","57.5","No"
174,"Litchi chinensis","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
176,"Lupinus mutabilis","BGV List","Leguminosas","Leguminous crops","Lupinos","Local",70,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
177,"Macadamia integrifolia","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"Threatened ",75,"30","8",90,"Alta","30","No","8","No"
178,"Macadamia tetraphylla","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"Threatened ",75,"30","8",90,"Alta","30","No","8","No"
179,"Malpighia glabra","BGV List","Otros permanentes","Other crops","Frutales menores","Close",45,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
180,"Malpighia punicifolia","BGV List","Frutales","Fruits and nuts","Frutales menores","Close",45,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
181,"Mammea americana","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"MinorConcern",35,"30","37.5",90,"Alta","30","No","37.5","No"
182,"Mangifera indica","BGV List","Frutales","Fruits and nuts","Mango","Distant",20,"NotEvaluated",0,"55.5","73.92",60,"Media","55.5","No","73.92","No"
183,"Manilkara zapota","BGV List","Frutales","Fruits and nuts","Frutales menores","Close",45,"NotEvaluated",0,"50","54.12",10,"No","50","No","54.12","No"
184,"Melicoccus bijugatus","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"NotEvaluated",0,"30","37.5",90,"Alta","30","No","37.5","No"
185,"Morinda citrifolia","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"Threatened ",75,"30","8",90,"Alta","30","No","8","No"
186,"Moringa oleifera","BGV List","Plantas aromaticas condimentarias y medicinales","Beverage and spice crops","Frutales menores","Distant",20,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
188,"Myrciaria cauliflora","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"NotEvaluated",0,"8","57.5",10,"No","8","No","57.5","No"
189,"Myrciaria dubia","BGV List","Frutales","Fruits and nuts","Frutales amazónicos","Local",70,"NotEvaluated",0,"8","30",90,"Alta","8","No","30","No"
190,"Nicotiana tabacum","BGV List","Otros permanentes","Other crops","Tabaco","Close",45,"NotEvaluated",0,"30.51","8",90,"Alta","30.51","No","8","No"
191,"Oryza sativa","BGV List","Cereales","Cereals","Arroz","Distant",20,"NotEvaluated",0,"76.38","70",90,"Alta","76.38","No","70","No"
192,"Pachira aquatica","BGV List","Otros permanentes","Other crops","Forestal","Close",45,"MinorConcern",35,"8","57.5",10,"No","8","No","57.5","No"
193,"Passiflora edulis","BGV List","Frutales","Fruits and nuts","Passifloras","Local",70,"MinorConcern",35,"52.22","57.5",90,"Alta","52.22","No","57.5","No"
194,"Passiflora ligularis","BGV List","Frutales","Fruits and nuts","Passifloras","Local",70,"MinorConcern",35,"50.53","57.5",30,"Baja","50.53","No","57.5","No"
195,"Patinoa almirajo","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"NotEvaluated",0,"8","57.5",10,"No","8","No","57.5","No"
196,"Persea americana","BGV List","Frutales","Fruits and nuts","Aguacate","Close",45,"MinorConcern",35,"52.13","34.57",90,"Alta","52.13","No","34.57","No"
197,"Persea caerulea","BGV List","Frutales","Fruits and nuts","Aguacate","Close",45,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
198,"Phaseolus coccineus","BGV List","Leguminosas","Leguminous crops","Frijol","Close",45,"MinorConcern",35,"70","8",90,"Alta","70","No","70","GP"
199,"Phaseolus vulgaris","BGV List","Leguminosas","Leguminous crops","Frijol","Close",45,"MinorConcern",35,"50","70",90,"Alta","50","No","70","No"
200,"Phyllanthus acidus","BGV List","Otros permanentes","Other crops","Frutales menores","Distant",20,"NotEvaluated",0,"8","57.5",10,"No","8","No","57.5","No"
201,"Physalis peruviana","BGV List","Frutales","Fruits and nuts","Uchuva","Local",70,"MinorConcern",35,"79.7","55.49",90,"Alta","79.7","No","55.49","No"
202,"Pisum sativum","BGV List","Leguminosas","Leguminous crops","Arveja","Distant",20,"MinorConcern",35,"35.78","53.06",60,"Media","35.78","No","53.06","No"
205,"Poncirus trifoliata","BGV List","Frutales","Fruits and nuts","Cítricos","Distant",20,"NotEvaluated",0,"8","8",90,"Alta","36.38","PCG","33.92","PCG"
206,"Pouteria caimito","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
207,"Pouteria campechiana","BGV List","Frutales","Fruits and nuts","Frutales menores","Close",45,"NotEvaluated",0,"50.98","57.5",90,"Alta","50.98","No","57.5","No"
208,"Pouteria lucuma","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"NotEvaluated",0,"8","37.5",60,"Media","8","No","37.5","No"
210,"Psidium guajava","BGV List","Frutales","Fruits and nuts","Guayaba","Local",70,"MinorConcern",35,"54.02","72.19",60,"Media","54.02","No","72.19","No"
211,"Punica granatum","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"MinorConcern",35,"8","57.5",10,"No","8","No","57.5","No"
212,"Matisia cordata","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
213,"Ricinus communis","BGV List","Oleaginosas","Oilseed crops","Higuerilla","Distant",20,"MinorConcern",35,"30","8",90,"Alta","30","No","8","No"
215,"Rubus floribundus","BGV List","Frutales","Fruits and nuts","Mora","Local",70,"NotEvaluated",0,"8","8",90,"Alta","30","PCG","8","No"
216,"Rubus glaucus","BGV List","Frutales","Fruits and nuts","Mora","Local",70,"NotEvaluated",0,"50","54.51",90,"Alta","50","No","54.51","No"
217,"Rubus idaeus","BGV List","Frutales","Fruits and nuts","Mora","Distant",20,"MinorConcern",35,"30","57.5",30,"Baja","30","No","57.5","No"
218,"Rubus urticifolius","BGV List","Frutales","Fruits and nuts","Mora","Local",70,"MinorConcern",35,"30","8",90,"Alta","30","No","8","No"
219,"Saccharum officinarum","BGV List","Otros permanentes","Sugar crops","Caña de azucar","Distant",20,"NotEvaluated",0,"70.8","37.5",90,"Alta","70.8","No","37.5","No"
220,"Smallanthus sonchifolius","BGV List","Tuberculos","Root/tuber crops with high starch or inulin conten","Yacon","Local",70,"NotEvaluated",0,"70.13","37.5",10,"No","70.13","No","37.5","No"
221,"Solanum betaceum","BGV List","Frutales","Fruits and nuts","Tomate de árbol","Local",70,"NotEvaluated",0,"57.12","57.5",90,"Alta","57.12","No","57.5","No"
222,"Solanum lycopersicum","BGV List","Hortalizas","Vegetables and melons","Tomate de mesa","Local",70,"NotEvaluated",0,"70.53","57.5",10,"No","70.53","No","57.5","No"
223,"Solanum melongena","BGV List","Hortalizas","Vegetables and melons","Berenjena","Distant",20,"NotEvaluated",0,"55.77","50",30,"Baja","55.77","No","50","No"
225,"Solanum phureja","BGV List","Tuberculos","Root/tuber crops with high starch or inulin conten","Papa","Local",70,"NotEvaluated",0,"50","8",90,"Alta","50","No","70","GP"
226,"Solanum quitoense","BGV List","Frutales","Fruits and nuts","Lulo","Local",70,"NotEvaluated",0,"50","50",60,"Media","50","No","50","No"
227,"Solanum tuberosum","BGV List","Tuberculos","Root/tuber crops with high starch or inulin conten","Papa","Local",70,"MinorConcern",35,"70.27","70",30,"Baja","70.27","No","70","No"
228,"Sorghum vulgare","BGV List","Cereales","Cereals","Sorgo","Distant",20,"NotEvaluated",0,"31.1","57.5",10,"No","31.1","No","57.5","No"
230,"Spondias purpurea","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"MinorConcern",35,"8","30",90,"Alta","8","No","30","No"
231,"Spondias tuberosa","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
232,"Sterculia apetala","BGV List","Otros permanentes","Other crops","Frutales menores","Close",45,"MinorConcern",35,"8","8",90,"Alta","8","No","8","No"
233,"Synsepalum dulcificum","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"NotEvaluated",0,"8","8",90,"Alta","8","No","8","No"
234,"Syzygium jambos","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"MinorConcern",35,"30","37.5",90,"Alta","30","No","37.5","No"
235,"Tabernaemontana heyneana","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"MinorConcern",35,"8","57.5",60,"Media","8","No","57.5","No"
236,"Tamarindus indica","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"MinorConcern",35,"30","30",90,"Alta","30","No","30","No"
237,"Terminalia catappa","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"MinorConcern",35,"8","37.5",60,"Media","8","No","37.5","No"
238,"Theobroma bicolor","BGV List","Frutales","Fruits and nuts","Cacao","Close",45,"NotEvaluated",0,"8","8",90,"Alta","60.28","GP","73.92","GP"
239,"Theobroma cacao","BGV List","Otros permanentes","Other crops","Cacao","Local",70,"MinorConcern",35,"60.28","73.92",90,"Alta","60.28","No","73.92","No"
240,"Theobroma grandiflorum","BGV List","Frutales","Fruits and nuts","Cacao","Local",70,"NotEvaluated",0,"30","50",10,"No","30","No","50","No"
242,"Triticum aestivum","BGV List","Cereales","Cereals","Trigo","Distant",20,"NotEvaluated",0,"40.35","76.67",60,"Media","40.35","No","76.67","No"
243,"Vaccinium meridionale","BGV List","Frutales","Fruits and nuts","Mortiño","Local",70,"NotEvaluated",0,"52.35","57.5",60,"Media","52.35","No","57.5","No"
245,"Vicia faba","BGV List","Leguminosas","Leguminous crops","Haba","Distant",20,"MinorConcern",35,"50.38","33.92",90,"Alta","50.38","No","33.92","No"
246,"Vigna radiata","BGV List","Leguminosas","Leguminous crops","Mungo","Distant",20,"MinorConcern",35,"8","37.5",60,"Media","8","No","37.5","No"
247,"Zea mays","BGV List","Cereales","Cereals","Maíz","Close",45,"MinorConcern",35,"50","53.4",90,"Alta","50","No","53.4","No"
248,"Ziziphus mauritiana","BGV List","Otros permanentes","Other crops","Frutales menores","Distant",20,"MinorConcern",35,"8","37.5",30,"Baja","8","No","37.5","No"
249,"Zizyphus jujuba","BGV List","Otros permanentes","Other crops","Frutales menores","Distant",20,"NotEvaluated",0,"8","30",90,"Alta","8","No","30","No"
250,"Musa balbisiana","BGV List","Frutales","Fruits and nuts","Musaceas","Distant",20,"Threatened",75,"8","50",90,"Alta","50","PCG","50","No"
251,"Musa acuminata","BGV List","Frutales","Fruits and nuts","Musaceas","Distant",20,"MinorConcern",35,"50","50",90,"Alta","50","No","50","No"
252,"Musa laterita","BGV List","Frutales","Fruits and nuts","Musaceas","Distant",20,"NotEvaluated",0,"8","57.5",10,"No","50","PCG","57.5","No"
253,"Musa ornata","BGV List","Frutales","Fruits and nuts","Musaceas","Distant",20,"NotEvaluated",0,"8","8",90,"Alta","50","PCG","50","PCG"
254,"Musa textilis","BGV List","Frutales","Fruits and nuts","Musaceas","Distant",20,"NotEvaluated",0,"8","8",90,"Alta","50","PCG","50","PCG"
255,"Musa basjoo","BGV List","Frutales","Fruits and nuts","Musaceas","Distant",20,"MinorConcern",35,"8","8",90,"Alta","50","PCG","50","PCG"
256,"Musa itinerans","BGV List","Frutales","Fruits and nuts","Musaceas","Distant",20,"Threatened",75,"8","8",90,"Alta","50","PCG","50","PCG"
